SegmentID	Link_Key	BookingID	DocumentNumber	Leg	AirlineCode	DepartCityCode	DepartDate	DepartTime	FlightNumber	ArriveCityCode	ArriveDate	ArriveTime	ConnectionCode	FareBasis	SegmentFare	Class	TicketDesignator	Mileage	SeatAssignment	EquipmentType	
5124	3YIICHN	3	3326491436	1	AM	TRC	19/12/2019	19:20	203	MEX	19/12/2019	21:05	 	TNNB0QCM/C	1202.00	T		503			
5125	4QCRCQY	4	3326491437	1	AM	TRC	16/12/2019	19:20	203	MEX	16/12/2019	21:05	 	RNNN0QCM/C	0.00	R		503			
5126	4QCRCQY	4	3326491437	2	AM	MEX	16/12/2019	21:45	2462	QRO	16/12/2019	22:55	X	RNNN0QCM/C	1233.00	R		109			
5127	4QCRCQY	4	3326491437	3	AM	QRO	19/12/2019	10:40	2465	MEX	19/12/2019	11:40	O	ENNN0QCM/C	0.00	R		109			
5128	4QCRCQY	4	3326491437	4	AM	MEX	19/12/2019	12:30	230	TRC	19/12/2019	14:20	X	ENNN0QCM/C	1618.00	R		503			
5129	8YFWIUX	8	3326491434	1	AM	MEX	16/12/2019	06:05	164	BJX	16/12/2019	07:25	 	MNNN0ACM/C	1914.00	M		235			
5130	8YFWIUX	8	3326491434	2	AM	BJX	18/12/2019	17:50	131	MEX	18/12/2019	19:00	O	LNNN0ACM/C	1068.00	M		235			
5131	9MUVWDK	9	3326457664	1	AM	MEX	12/12/2019	06:01	102	GDL	12/12/2019	07:40	 	ENOB6QCM/C	752.00	E		272			
5132	9MUVWDK	9	3326457664	2	AM	GDL	12/12/2019	19:20	281	MEX	12/12/2019	20:45	O	QNQN0ACM/C	1180.00	E		272			
5133	10VATHST	10	3326457665	1	AM	MXL	09/12/2019	15:30	183	MEX	09/12/2019	20:40	 	LLNN0QCM/C	1958.00	L		1346			
5134	11QWHHPR	11	7380086047	1	4O	MEX	10/12/2019	20:00	2188	MTY	10/12/2019	21:40			0.00	Y		444			
5135	13TYHWYH	13	3326448652	1	AM	MEX	17/12/2019	06:05	164	BJX	17/12/2019	07:25	 	ENNB6QCM/C	799.00	E		235			
5136	13TYHWYH	13	3326448652	2	AM	BJX	18/12/2019	17:50	131	MEX	18/12/2019	19:00	O	LNNN0ACM/C	1024.00	E		235			
5137	15CBKKIW	15	3326457674	1	AM	HMO	09/01/2020	17:15	731	MEX	09/01/2020	20:55	 	NNNN0QCM/C	776.00	N		997			
5138	17DSQFGJ	17	3326457697	1	AM	MEX	12/12/2019	06:01	102	GDL	12/12/2019	07:40	 	QNON0ACM/C	913.00	Q		272			
